,index,nomptar,CodeINSEE,coord
366,240,Sèvres-Lecourbe,75115,"48.8449961101, 2.31086482671"
367,521,Ségur,75115,"48.8468646613, 2.30726884425"
368,127,Temple,75103,"48.866764127, 2.3615713237"
369,21,Ternes,75117,"48.8782279997, 2.29812142925"
370,169,Tolbiac,75113,"48.8261594131, 2.35701946286"
371,573,Torcy,77468,"48.8397283819, 2.65590311181"
372,812,Trinité-d'Estienne d'Orves,75109,"48.8763289967, 2.33180456518"
373,70,Trocadéro,75116,"48.8626668651, 2.28726305822"
374,7,Tuileries,75101,"48.8647801217, 2.3290949511"
375,528,Télégraphe,75120,"48.8755224085, 2.39867650781"
376,395,Val d'europe,77449,"48.8550877316, 2.77492611826"
377,572,Val de Fontenay,94033,"48.8535398247, 2.48861963891"
378,749,Vaneau,75107,"48.8487008088, 2.32123987861"
379,890,Varenne,75107,"48.8563930284, 2.31475436148"
380,543,Vaugirard (Adolphe Chérioux),75115,"48.8394392405, 2.30107803914"
381,37,Vavin,75106,"48.8420598168, 2.3288670471"
382,739,Vert-Galant,93078,"48.944256914, 2.56685574769"
383,17,Victor Hugo,75116,"48.8698648717, 2.28522620392"
384,221,Villejuif-L1s Aragon,94076,"48.7866379703, 2.36711052405"
385,78,Villejuif-Léo Lagrange,94076,"48.8037696225, 2.36390930306"
386,209,Villejuif-Paul Vaillant Couturier (Hôpital Paul Brousse),94076,"48.7959940916, 2.36823144858"
387,670,Villeparisis,77514,"48.9531603089, 2.60272851855"
388,590,Villepinte,93078,"48.9631675094, 2.51238782453"
389,120,Villiers,75117,"48.8813242532, 2.31659675818"
390,571,Vincennes,94080,"48.8473238304, 2.43353159354"
391,533,Volontaires,75115,"48.8414184019, 2.30799364605"
392,199,Voltaire (Léon Blum),75111,"48.857663685, 2.38003629346"
393,130,Wagram,75117,"48.8837124353, 2.30555775418"
